Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C1	C0402R	0.668	0.843	0.668	0.843	0.693	0.843	Top	180.0
C10	C0402R	0.757	0.459	0.757	0.459	0.782	0.459	Bottom	0.0
C11	C0402R	2.541	0.837	2.541	0.837	2.541	0.812	Top	90.0
C12	C0402R	2.322	0.806	2.322	0.806	2.322	0.831	Top	-90.0
C13	C0402R	0.697	0.794	0.697	0.794	0.672	0.794	Top	0.0
C14	C0402R	2.105	0.535	2.105	0.535	2.130	0.535	Top	180.0
C15	C0402R	1.574	0.847	1.574	0.847	1.599	0.847	Bottom	0.0
C16	C0402R	0.282	0.742	0.282	0.742	0.282	0.717	Top	90.0
C17	C0402R	1.950	0.816	1.950	0.816	1.950	0.791	Top	90.0
C18	C0402R	1.374	0.446	1.374	0.446	1.349	0.446	Top	0.0
C19	C0402R	1.680	0.583	1.680	0.583	1.655	0.583	Bottom	180.0
C2	C0402R	0.558	0.617	0.558	0.617	0.583	0.617	Top	180.0
C20	C0402R	1.751	0.861	1.751	0.861	1.726	0.861	Top	0.0
C3	C0402R	0.345	0.737	0.345	0.737	0.320	0.737	Top	0.0
C4	C0603R	1.393	0.664	1.393	0.664	1.393	0.630	Top	90.0
C5	C0402R	0.846	0.682	0.846	0.682	0.821	0.682	Top	0.0
C6	C0402R	1.200	0.673	1.200	0.673	1.200	0.698	Top	-90.0
C7	C0402R	0.312	0.796	0.312	0.796	0.337	0.796	Top	180.0
C8	C0805_N	0.552	0.485	0.552	0.485	0.552	0.447	Top	90.0
C9	C0402R	0.581	0.512	0.581	0.512	0.556	0.512	Bottom	180.0
D2	0603-.8x.85	0.462	0.766	0.462	0.766	0.462	0.766	Bottom	90.0
D3	DFN1006-2	2.392	0.431	2.392	0.431	2.392	0.431	Top	0.0
D4	DFN1006-2	1.886	0.453	1.886	0.453	1.886	0.453	Bottom	0.0
J1	FCI_10118193_S	0.108	0.725	0.043	0.725	0.148	0.776	Top	-90.0
J2	AMPH_10051922-12	1.046	0.664	1.086	0.664	1.029	0.772	Bottom	90.0
P1	JST_BM04B	1.703	0.747	1.703	0.718	1.762	0.787	Top	180.0
P2	MOLEX_533984002_S	0.348	0.631	0.348	0.611	0.323	0.686	Top	180.0
P3	MOLEX_533984003	2.103	0.631	2.103	0.661	2.153	0.586	Top	0.0
P4	JST_BM02B	1.875	0.519	1.875	0.533	1.855	0.469	Top	0.0
P5	MOLEX_533984003	2.228	0.538	2.228	0.509	2.277	0.584	Bottom	180.0
PZ1	CUI_CMT-1102-SMT	2.213	0.583	2.213	0.583	1.957	0.583	Bottom	-90.0
Q2	VISHAY_VEMT2	1.355	0.773	1.355	0.773	1.355	0.773	Top	180.0
Q3	ROHM_HSMT8	1.675	0.526	1.672	0.526	1.605	0.564	Top	-90.0
R1	R0402R	0.244	0.772	0.244	0.772	0.244	0.747	Top	90.0
R10	R0402R	0.736	0.638	0.736	0.638	0.736	0.613	Top	90.0
R11	R0402R	0.697	0.636	0.697	0.636	0.697	0.661	Top	-90.0
R12	R0402R	1.333	0.586	1.333	0.586	1.333	0.611	Top	-90.0
R13	R0402R	1.389	0.552	1.389	0.552	1.389	0.577	Top	-90.0
R14	R0402R	1.243	0.700	1.243	0.700	1.243	0.725	Top	-90.0
R15	R0402R	1.288	0.700	1.288	0.700	1.288	0.725	Top	-90.0
R16	R0402R	1.224	0.504	1.224	0.504	1.199	0.504	Top	0.0
R17	R0402R	0.538	0.687	0.538	0.687	0.563	0.687	Bottom	0.0
R18	R0402R	0.996	0.489	0.996	0.489	0.971	0.489	Top	0.0
R19	R0402R	1.820	0.528	1.820	0.528	1.795	0.528	Bottom	180.0
R2	R0402R	0.205	0.750	0.205	0.750	0.205	0.725	Top	90.0
R20	R0402R	1.336	0.527	1.336	0.527	1.311	0.527	Bottom	180.0
R21	R0402R	1.077	0.485	1.077	0.485	1.052	0.485	Top	0.0
R22	R0402R	0.753	0.807	0.753	0.807	0.728	0.807	Bottom	180.0
R23	R0402R	0.784	0.861	0.784	0.861	0.759	0.861	Top	0.0
R24	R0402R	0.754	0.524	0.754	0.524	0.754	0.499	Bottom	-90.0
R3	R0402R	0.496	0.469	0.496	0.469	0.496	0.444	Top	90.0
R4	R0402R	0.533	0.443	0.533	0.443	0.558	0.443	Bottom	0.0
R5	R0402R	0.819	0.462	0.819	0.462	0.819	0.437	Top	90.0
R6	R0402R	0.777	0.551	0.777	0.551	0.777	0.576	Top	-90.0
R7	R0402_R	0.780	0.462	0.780	0.462	0.780	0.442	Top	90.0
R8	R0402R	0.669	0.512	0.669	0.512	0.644	0.512	Bottom	180.0
R9	R0402R	0.757	0.763	0.757	0.763	0.757	0.788	Top	-90.0
SW1	E_SWITCH_EG1215AA	0.220	0.574	0.223	0.550	0.312	0.623	Bottom	0.0
SW2	CK_PTS830_S	0.169	0.756	0.169	0.756	0.135	0.825	Bottom	90.0
SW3	CK_PTS830_S	0.333	0.756	0.333	0.756	0.300	0.825	Bottom	90.0
SW4	CK_PTS830_S	2.446	0.829	2.446	0.829	2.377	0.796	Bottom	180.0
U1	FTDI_WQFN-16	0.530	0.755	0.530	0.755	0.569	0.845	Top	-90.0
U2	ATMEL_VQFN32	1.032	0.663	1.032	0.663	0.922	0.732	Top	-90.0
U3	ANALOG_DFN10	0.670	0.491	0.670	0.491	0.608	0.530	Top	-90.0
U4	TSSOP-8	1.479	0.587	1.479	0.587	1.440	0.470	Top	0.0
U5	BOSCH_BMP390	2.440	0.813	2.440	0.813	2.450	0.858	Top	0.0
U6	SC-70-6	1.699	0.510	1.699	0.510	1.661	0.484	Bottom	0.0
U7	MEMSIC_12-VFLGA	1.863	0.818	1.863	0.818	1.834	0.783	Top	-90.0
Y1	MURATA_CSTNE	0.844	0.594	0.844	0.594	0.844	0.641	Top	-90.0
C1	C0402R	0.668	1.347	0.668	1.347	0.693	1.347	Top	180.0
C10	C0402R	0.757	0.963	0.757	0.963	0.782	0.963	Bottom	0.0
